id_direccion,razon_social,email,telefono,tipo_seguro,que_cubre
611,EDGEIFY,pedgehill0@techcrunch.com,7289670395,SEGUROS A TERCEROS AMPLIADOS,VIAL Y EN VIAJES
631,JAYO,kslatten1@dot.gov,4907285165,TODO RIESGO,DAÑOS MATERIALES
620,YAKIJO,pkupec2@yelp.com,7362302678,TODO RIESGO,GASTOS MÉDICOS A OCUPANTES
407,RHYBOX,kbrimacombe3@google.fr,4192625587,TODO RIESGO,VIAL Y EN VIAJES
469,BROWSEZOOM,mrandleson4@csmonitor.com,8779263922,SEGURO A TERCEROS,RESPONSABILIDAD CIVIL BIENES Y PERSONAS
541,PLAJO,hrostron5@ted.com,2373416144,SEGUROS A TERCEROS AMPLIADOS,VIAL Y EN VIAJES
368,VINDER,mcrush6@parallels.com,4272368940,SEGUROS A TERCEROS AMPLIADOS,ASISTENCIAS: LEGAL
43,KAYMBO,eduncklee7@cpanel.net,2082304393,SEGURO A TERCEROS,ROBO TOTAL / PARCIAL
426,JAYO,csterman8@hc360.com,4097168790,SEGUROS A TERCEROS AMPLIADOS,ASISTENCIAS: LEGAL
305,KATZ,gblakeborough9@myspace.com,8965096449,SEGURO A TERCEROS,RESPONSABILIDAD CIVIL BIENES Y PERSONAS
84,JAYO,tpookea@home.pl,9364977497,SEGURO A TERCEROS,RESPONSABILIDAD CIVIL BIENES Y PERSONAS
644,BUZZBEAN,vtuxwellb@narod.ru,2419465336,SEGURO A TERCEROS,ASISTENCIAS: LEGAL
452,DABVINE,bstrobanc@gravatar.com,9387034156,SEGURO A TERCEROS,ROBO TOTAL / PARCIAL
48,DABFEED,dmactrustyd@storify.com,2329996690,SEGURO A TERCEROS,RESPONSABILIDAD CIVIL BIENES Y PERSONAS
255,GABSPOT,noboye@mail.ru,3996283605,TODO RIESGO,GASTOS MÉDICOS A OCUPANTES
290,REALFIRE,ldovinsonf@mashable.com,6312949579,SEGURO A TERCEROS,VIAL Y EN VIAJES
518,KATZ,wvogelg@wordpress.com,7377913371,SEGUROS A TERCEROS AMPLIADOS,DAÑOS MATERIALES
432,JETWIRE,dgraveth@bloomberg.com,1915721195,SEGURO A TERCEROS,RESPONSABILIDAD CIVIL BIENES Y PERSONAS
419,TAGFEED,ssowleyi@rediff.com,8985954686,TODO RIESGO,GASTOS MÉDICOS A OCUPANTES
80,FATZ,dfeverj@geocities.jp,4391355460,TODO RIESGO,VIAL Y EN VIAJES
315,RHYNOODLE,sbagnoldk@cdc.gov,9165322009,SEGURO A TERCEROS,RESPONSABILIDAD CIVIL BIENES Y PERSONAS
417,OMBA,tcassidyl@icio.us,8845189838,SEGUROS A TERCEROS AMPLIADOS,ROBO TOTAL / PARCIAL
